être;to be
imprimer;to print
gonfler;to inflate, to swell
décrocher;to pick up, to unhook
soupçonner;to suspect
situer;to situate, to position, to place
rejeter;to reject, to throw back
pointer;to point
absorber;to absorb
précéder;to precede
comporter;to comprise, to behave
transmettre;to transmit
rater;to miss, to fail, to flunk
geler, glacer;to freeze, to ice
fêter;to celebrate
dévorer;to devour
définir;to define
témoigner;to testify, to witness
renverser;to spill, to knock over
contrôler;to control
concevoir;to conceive
chiner;to bargain
viser;to aim, to target
vanter;to boast, to praise
heurter;to hit, to collide
formuler;to formulate
échouer;to fail
dépêcher;to hurry
approuver;to approve
sacrifier;to sacrifice
exploser;to explode, to blow up
débarquer;to disembark, to land
tracer;to trace
manier;to handle
loger;to lodge, to accommodate
balayer;to sweep
impressionner;to impress
effrayer;to frighten
citer;to quote, to mention
chuchoter;to whisper
enceinter;to impregnate
renseigner;to inform
fonctionner;to function, to work
encourager;to encourage
accuser;to accuse
rédiger;to draft
modifier;to modify
développer;to develop
confirmer;to confirm
abriter;to shelter
tordre;to twist
lécher;to lick
hériter;to inherit
fendre;to split
fourrer, farcir;to stuff
corriger;to correct
consentir;to consent
virer;to transfer money
guider;to guide
fréquenter;to frequent
explorer;to explore
projeter;to project, to plan
évader;to evade
discerner;to discern
signaler;to signal, to report
errer;to wander
dissoudre;to dissolve
harmonier;to harmonize
surmonter;to overcome
sombrer;to sink
réfugier;to take refuge
gâcher;to waste, to spoil
étrangler;to strangle
déboucher;to unclog, to clear
adosser;to lean against
intriguer;to intrigue
insulter;to insult
informer;to inform
débattre;to debate, to discuss
compromettre;to compromise
circuler;to circulate
renforcer;to reinforce
envoler;to fly away
assumer;to assume
énerver;to vex
crisper;to tense up, to irritate
concentrer;to concentrate
animer;to animate
réjouir;to rejoice
refléter;to reflect
provenir;to originate, to come from
féliciter;to congratulate
salir;to soil, to dirty
régir;to govern, to regulate
graver;to engrave
dénoncer;to denounce
correspondre;to correspond
saigner;to bleed
plaisanter;to joke
nouer;to tie, to knot
dévisager;to stare at, to scrutinize
déployer;to deploy, to unfold
détecter, déceler;to detect
pourrir;to rot
enchanter;to enchant
décorer;to decorate
compliquer;to complicate
abîmer;to damage
distribuer;to distribute
tousser;to cough
renouveler;to renew
instruire;to instruct, to educate
exciter;to excite
émerveiller;to amaze
convoquer;to summon
contrarier;to upset, to annoy
accéder;to access
supprimer;to delete
réussir, succéder;to succeed
isoler;to isolate
résigner;to resign, to accept
recommander;to recommend
irriter;to irritate
extraire;to extract
décoller;to take off, to unstick
contribuer;to contribute
cligner;to blink
bouillir;to boil
attribuer;to attribute, to assign
cliquer;to click
raccrocher;to hang up
plaider;to plead
négocier;to negotiate
grommeler;to grumble
froncer;to frown, to crease
dorer;to gild, to brown
démontrer;to demonstrate
décourager;to discourage
déborder;to overflow
calculer;to calculate
raidir;to stiffen
photographier;to photograph
hâter;to hasten
clouer;to nail, to pin down
baptiser;to baptize
bégayer;to stammer
agenouiller;to kneel
ronfler;to snore
pêcher;to fish, to sin
dépourvoir;to deprive
contourner;to bypass
rouiller;to rust
expédier;to dispatch, to send off
émerger;to emerge
embarrasser;to embarrass
détendre;to relax, to loosen
intimider;to intimidate
exaspérer;to exasperate
effondrer;to collapse
évaluer;to evaluate
raisonner;to reason
peupler;to populate
encadrer;to frame, to supervise
embêter;to pester
aspirer;to aspire, to inhale
unir;to unite
renifler;to sniff
ramper;to crawl
manoeuvrer;to maneuver
dépasser, excéder;to exceed
aligner;to align
inspecter;to inspect
faciliter;to facilitate
dépouiller;to strip
dépenser;to spend
assassiner;to assassinate
apprivoiser;to tame
trancher;to slice
polir;to polish
honorer;to honor
fâcher;to anger, to upset
exploiter;to exploit
bousculer;to jostle, to hustle
plaquer;to tackle
enseigner;to teach
accouder;to lean on one's elbows
violer;to violate
périr;to perish
grossir;to enlarge, to gain weight
découper;to cut out, to carve
afficher;to display
affecter;to affect
sucer;to suck
souligner;to underline, to emphasize
renaître;to be reborn
rallier;to rally
flatter;to flatter
fier;to pride oneself
exagérer;to exaggerate
élire;to elect
déplaire;to displease
bloquer;to block
régimer;to diet
dater;to date
ressusciter;to resurrect
renier;to disown, to renounce
méditer;to meditate
interpréter;to interpret
augmenter;to increase
assommer;to knock out, to stun
soustraire;to subtract, to withdraw
reproduire;to reproduce
redonner;to give back
négliger;to neglect
engloutir;to engulf, to devour
patienter;to wait patiently
persister;to persist
emballer;to pack, to wrap
émaner;to emanate
déguiser;to disguise
dégoûter;to disgust
suggérer;to suggest
garantir;to guarantee
effectuer;to carry out
